公牛ID (Bull_ID),母牛ID (Cow_ID),后代近交系数 (Inbreeding_Coefficient)
HO840M3269404786,220771,0
HO840M3275375277,220771,0
HO840M3250025924,220771,0
HO840M3252198074,220771,0
HO840M3269404443,220773,0
HO840M3269404786,220773,0
HO840M3275375277,220773,0
HO840M3250025924,220773,0
HO840M3252198074,220773,0
HO840M3269404443,220775,0
HO840M3269404786,220775,0
HO840M3275375277,220775,0
HO840M3250025924,220775,0
HO840M3252198074,220775,0
HO840M3269404443,220776,0
HO840M3269404786,220776,0
HO840M3275375277,220776,0
HO840M3250025924,220776,0
HO840M3252198074,220776,0
HO840M3269404443,220778,0
HO840M3269404786,220778,0
HO840M3275375277,220778,0
HO840M3250025924,220778,0
HO840M3252198074,220778,0
HO840M3269404443,220781,0
HO840M3269404786,220781,0
HO840M3275375277,220781,0
HO840M3250025924,220781,0
HO840M3252198074,220781,0
HO840M3269404443,220782,0
HO840M3269404786,220782,0
HO840M3275375277,220782,0
HO840M3250025924,220782,0
HO840M3252198074,220782,0
HO840M3269404443,220783,0
HO840M3269404786,220783,0
HO840M3275375277,220783,0
HO840M3250025924,220783,0
HO840M3252198074,220783,0
HO840M3269404443,220784,0
HO840M3269404786,220784,0
HO840M3275375277,220784,0
HO840M3250025924,220784,0
HO840M3252198074,220784,0
HO840M3269404443,220793,0
HO840M3269404786,220793,0
HO840M3275375277,220793,0
HO840M3250025924,220793,0
HO840M3252198074,220793,0
HO840M3269404443,220795,0
HO840M3269404786,220795,0
HO840M3275375277,220795,0
HO840M3250025924,220795,0
HO840M3252198074,220795,0
HO840M3269404443,220802,0
HO840M3269404786,220802,0
HO840M3275375277,220802,0
HO840M3250025924,220802,0
HO840M3252198074,220802,0
HO840M3269404443,220803,0
HO840M3269404786,220803,0
HO840M3275375277,220803,0
HO840M3250025924,220803,0
HO840M3252198074,220803,0
HO840M3269404443,220804,0
HO840M3269404786,220804,0
HO840M3275375277,220804,0
HO840M3250025924,220804,0
HO840M3252198074,220804,0
HO840M3269404443,220807,0
HO840M3269404786,220807,0
HO840M3275375277,220807,0
HO840M3250025924,220807,0
HO840M3252198074,220807,0
HO840M3269404443,220809,0
HO840M3269404786,220809,0
HO840M3275375277,220809,0
HO840M3250025924,220809,0
HO840M3252198074,220809,0
HO840M3269404443,220815,0
HO840M3269404786,220815,0
HO840M3275375277,220815,0
HO840M3250025924,220815,0
HO840M3252198074,220815,0
HO840M3269404443,220820,0
HO840M3269404786,220820,0
HO840M3275375277,220820,0
HO840M3250025924,220820,0
HO840M3252198074,220820,0
HO840M3269404443,220824,0
HO840M3269404786,220824,0
HO840M3275375277,220824,0
HO840M3250025924,220824,0
HO840M3252198074,220824,0
HO840M3269404443,220827,0
HO840M3269404786,220827,0.109375
HO840M3275375277,220827,0
HO840M3250025924,220827,0
HO840M3252198074,220827,0.01171875
HO840M3269404443,220832,0
HO840M3269404786,220832,0
HO840M3275375277,220832,0
HO840M3250025924,220832,0.0234375
HO840M3252198074,220832,0
HO840M3269404443,220834,0
HO840M3269404786,220834,0
HO840M3275375277,220834,0
HO840M3250025924,220834,0
HO840M3252198074,220834,0
HO840M3269404443,220835,0
HO840M3269404786,220835,0
HO840M3275375277,220835,0
HO840M3250025924,220835,0.0234375
HO840M3252198074,220835,0
HO840M3269404443,220836,0
HO840M3269404786,220836,0
HO840M3275375277,220836,0
HO840M3250025924,220836,0
HO840M3252198074,220836,0
HO840M3269404443,220837,0
HO840M3269404786,220837,0
HO840M3275375277,220837,0
HO840M3250025924,220837,0
HO840M3252198074,220837,0
HO840M3269404443,220839,0
HO840M3269404786,220839,0
HO840M3275375277,220839,0
HO840M3250025924,220839,0
HO840M3252198074,220839,0
HO840M3269404443,220840,0
HO840M3269404786,220840,0
HO840M3275375277,220840,0
HO840M3250025924,220840,0
HO840M3252198074,220840,0
HO840M3269404443,220841,0
HO840M3269404786,220841,0
HO840M3275375277,220841,0
HO840M3250025924,220841,0
HO840M3252198074,220841,0
HO840M3269404443,220842,0
HO840M3269404786,220842,0
HO840M3275375277,220842,0
HO840M3250025924,220842,0
HO840M3252198074,220842,0
HO840M3269404443,220844,0
HO840M3269404786,220844,0.109375
HO840M3275375277,220844,0
HO840M3250025924,220844,0
HO840M3252198074,220844,0.0078125
HO840M3269404443,220845,0
HO840M3269404786,220845,0.109375
HO840M3275375277,220845,0
HO840M3250025924,220845,0
HO840M3252198074,220845,0
HO840M3269404443,220846,0
HO840M3269404786,220846,0
HO840M3275375277,220846,0
HO840M3250025924,220846,0
HO840M3252198074,220846,0
HO840M3269404443,220848,0
HO840M3269404786,220848,0
HO840M3275375277,220848,0
HO840M3250025924,220848,0
HO840M3252198074,220848,0
HO840M3269404443,220849,0
HO840M3269404786,220849,0
HO840M3275375277,220849,0
HO840M3250025924,220849,0
HO840M3252198074,220849,0
HO840M3269404443,220850,0
HO840M3269404786,220850,0.109375
HO840M3275375277,220850,0
HO840M3250025924,220850,0
HO840M3252198074,220850,0
HO840M3269404443,220852,0
HO840M3269404786,220852,0
HO840M3275375277,220852,0
HO840M3250025924,220852,0
HO840M3252198074,220852,0
HO840M3269404443,220855,0
HO840M3269404786,220855,0
HO840M3275375277,220855,0
HO840M3250025924,220855,0
HO840M3252198074,220855,0
HO840M3269404443,220856,0
HO840M3269404786,220856,0
HO840M3275375277,220856,0
HO840M3250025924,220856,0
HO840M3252198074,220856,0
HO840M3269404443,220857,0
HO840M3269404786,220857,0
HO840M3275375277,220857,0
HO840M3250025924,220857,0
HO840M3252198074,220857,0
HO840M3269404443,220858,0
HO840M3269404786,220858,0
HO840M3275375277,220858,0
HO840M3250025924,220858,0
HO840M3252198074,220858,0
HO840M3269404443,220859,0
HO840M3269404786,220859,0
HO840M3275375277,220859,0
HO840M3250025924,220859,0
HO840M3252198074,220859,0
HO840M3269404443,220862,0
HO840M3269404786,220862,0
HO840M3275375277,220862,0
HO840M3250025924,220862,0
HO840M3252198074,220862,0
HO840M3269404443,220865,0
HO840M3269404786,220865,0
HO840M3275375277,220865,0
HO840M3250025924,220865,0
HO840M3252198074,220865,0
HO840M3269404443,220866,0
HO840M3269404786,220866,0
HO840M3275375277,220866,0
HO840M3250025924,220866,0
HO840M3252198074,220866,0
HO840M3269404443,220867,0
HO840M3269404786,220867,0
HO840M3275375277,220867,0
HO840M3250025924,220867,0
HO840M3252198074,220867,0
HO840M3269404443,220868,0
HO840M3269404786,220868,0.109375
HO840M3275375277,220868,0
HO840M3250025924,220868,0
HO840M3252198074,220868,0
HO840M3269404443,220869,0
HO840M3269404786,220869,0
HO840M3275375277,220869,0
HO840M3250025924,220869,0
HO840M3252198074,220869,0
HO840M3269404443,220870,0
HO840M3269404786,220870,0.109375
HO840M3275375277,220870,0
HO840M3250025924,220870,0
HO840M3252198074,220870,0
HO840M3269404443,220871,0
HO840M3269404786,220871,0.109375
HO840M3275375277,220871,0
HO840M3250025924,220871,0
HO840M3252198074,220871,0
HO840M3269404443,220877,0
HO840M3269404786,220877,0.109375
HO840M3275375277,220877,0
HO840M3250025924,220877,0
HO840M3252198074,220877,0.0078125
HO840M3269404443,220880,0
HO840M3269404786,220880,0
HO840M3275375277,220880,0
HO840M3250025924,220880,0
HO840M3252198074,220880,0
HO840M3269404443,220883,0
HO840M3269404786,220883,0
HO840M3275375277,220883,0
HO840M3250025924,220883,0.0234375
HO840M3252198074,220883,0
HO840M3269404443,220885,0
HO840M3269404786,220885,0
HO840M3275375277,220885,0
HO840M3250025924,220885,0.0234375
HO840M3252198074,220885,0
HO840M3269404443,220886,0
HO840M3269404786,220886,0.109375
HO840M3275375277,220886,0
HO840M3250025924,220886,0
HO840M3252198074,220886,0
HO840M3269404443,220887,0
HO840M3269404786,220887,0
HO840M3275375277,220887,0
HO840M3250025924,220887,0.0234375
HO840M3252198074,220887,0
HO840M3269404443,220889,0
HO840M3269404786,220889,0
HO840M3275375277,220889,0
HO840M3250025924,220889,0
HO840M3252198074,220889,0
HO840M3269404443,220890,0
HO840M3269404786,220890,0
HO840M3275375277,220890,0
HO840M3250025924,220890,0.0234375
HO840M3252198074,220890,0
HO840M3269404443,220893,0
HO840M3269404786,220893,0
HO840M3275375277,220893,0
HO840M3250025924,220893,0.0234375
HO840M3252198074,220893,0
HO840M3269404443,220894,0
HO840M3269404786,220894,0
HO840M3275375277,220894,0
HO840M3250025924,220894,0
HO840M3252198074,220894,0
HO840M3269404443,220896,0
HO840M3269404786,220896,0
HO840M3275375277,220896,0
HO840M3250025924,220896,0
HO840M3252198074,220896,0
HO840M3269404443,220899,0
HO840M3269404786,220899,0
HO840M3275375277,220899,0
HO840M3250025924,220899,0
HO840M3252198074,220899,0
HO840M3269404443,220900,0
HO840M3269404786,220900,0
HO840M3275375277,220900,0
HO840M3250025924,220900,0.0234375
HO840M3252198074,220900,0
HO840M3269404443,220901,0
HO840M3269404786,220901,0
HO840M3275375277,220901,0
HO840M3250025924,220901,0
HO840M3252198074,220901,0
HO840M3269404443,220902,0
HO840M3269404786,220902,0
HO840M3275375277,220902,0
HO840M3250025924,220902,0.0234375
HO840M3252198074,220902,0
HO840M3269404443,220908,0
HO840M3269404786,220908,0
HO840M3275375277,220908,0
HO840M3250025924,220908,0.0234375
HO840M3252198074,220908,0
HO840M3269404443,220909,0
HO840M3269404786,220909,0
HO840M3275375277,220909,0
HO840M3250025924,220909,0
HO840M3252198074,220909,0
HO840M3269404443,220910,0
HO840M3269404786,220910,0.109375
HO840M3275375277,220910,0
HO840M3250025924,220910,0
HO840M3252198074,220910,0
HO840M3269404443,220911,0
HO840M3269404786,220911,0
HO840M3275375277,220911,0
HO840M3250025924,220911,0
HO840M3252198074,220911,0
HO840M3269404443,220912,0
HO840M3269404786,220912,0.109375
HO840M3275375277,220912,0
HO840M3250025924,220912,0
HO840M3252198074,220912,0
HO840M3269404443,220913,0
HO840M3269404786,220913,0
HO840M3275375277,220913,0
HO840M3250025924,220913,0
HO840M3252198074,220913,0
HO840M3269404443,220914,0
HO840M3269404786,220914,0
HO840M3275375277,220914,0
HO840M3250025924,220914,0
HO840M3252198074,220914,0
HO840M3269404443,220915,0
HO840M3269404786,220915,0
HO840M3275375277,220915,0
HO840M3250025924,220915,0.0234375
HO840M3252198074,220915,0
HO840M3269404443,220916,0
HO840M3269404786,220916,0
HO840M3275375277,220916,0
HO840M3250025924,220916,0.0546875
HO840M3252198074,220916,0
HO840M3269404443,220917,0
HO840M3269404786,220917,0
HO840M3275375277,220917,0
HO840M3250025924,220917,0
HO840M3252198074,220917,0
HO840M3269404443,220918,0
HO840M3269404786,220918,0
HO840M3275375277,220918,0
HO840M3250025924,220918,0
HO840M3252198074,220918,0
HO840M3269404443,220919,0
HO840M3269404786,220919,0.109375
HO840M3275375277,220919,0
HO840M3250025924,220919,0
HO840M3252198074,220919,0
HO840M3269404443,220921,0
HO840M3269404786,220921,0
HO840M3275375277,220921,0
HO840M3250025924,220921,0
HO840M3252198074,220921,0
HO840M3269404443,220922,0
HO840M3269404786,220922,0
HO840M3275375277,220922,0
HO840M3250025924,220922,0.0234375
HO840M3252198074,220922,0
HO840M3269404443,220923,0
HO840M3269404786,220923,0
HO840M3275375277,220923,0
HO840M3250025924,220923,0
HO840M3252198074,220923,0
HO840M3269404443,220926,0
HO840M3269404786,220926,0
HO840M3275375277,220926,0
HO840M3250025924,220926,0
HO840M3252198074,220926,0
HO840M3269404443,220929,0
HO840M3269404786,220929,0
HO840M3275375277,220929,0
HO840M3250025924,220929,0
HO840M3252198074,220929,0
HO840M3269404443,220931,0
HO840M3269404786,220931,0
HO840M3275375277,220931,0
HO840M3250025924,220931,0.0234375
HO840M3252198074,220931,0
HO840M3269404443,220932,0
HO840M3269404786,220932,0.046875
HO840M3275375277,220932,0
HO840M3250025924,220932,0
HO840M3252198074,220932,0
HO840M3269404443,220933,0
HO840M3269404786,220933,0
